timestep,reward
1,0.556
7301,0.1765
13463,0.6255
20314,0.593
27529,0.96175
34783,0.97575
42021,1.0695
49369,1.043
56760,1.11425
64270,1.13575
71746,1.103
79339,1.2185
86744,1.18675
94197,1.034
101626,1.21625
109131,1.15525
116606,1.093
124187,1.0415
131643,1.07875
139070,1.07625
146495,1.08225
154062,1.038
161476,1.0495
169007,1.0345
176697,1.1145
184256,1.07225
191652,1.16425
199199,1.09425
206886,1.19
214488,1.1455
222042,1.167
229495,1.07125
237044,1.08075
244398,1.05625
251673,0.986
259275,1.1005
266798,1.09725
274356,1.158
281783,1.1375
289240,1.117
296669,1.048
304109,0.95575
311531,1.1135
319027,1.1345
326527,1.023
334040,1.1105
341392,1.11925
348863,1.072
356474,1.12775
363918,1.0105
